"response_id","link_to_system","task","suspicious_element","personal_impact"
194,"planet fitness: https://www.planetfitness.com/gyms/lake-stevens-wa/offers?gclsrc=aw.ds&gad_source=1&gad_campaignid=22020271800&gbraid=0aaaaaoz7aym4xdrjmk6q4g2n4x_d-sfes&gclid=cj0kcqjwo63hbhckarisahohv_ua1zfnziskbqru6wxtasblxeewfk3dryot80th2mnzbhdartqfammaap1-ealw_wcb","i was trying to cancel my gym membership.","i found out i couldn’t cancel my membership online even though i signed up online. the website made it seem like i could manage everything from my account, but there was no option to cancel. it said i had to go to my home gym in person.","it was frustrating and took more time than i thought it would. i felt like they made it hard on purpose so people wouldn’t cancel their memberships."
197,"youtube
https://www.youtube.com/","watch a video","when an ad came on, you could manually skip the ad instead of watching the whole thing. this is presented as a good thing, but they still got you to watch an ad, and if you can't find the remote or something, then you have to watch the whole ad.","i usually watch youtube with an adblocker or on a hacked client on my phone, so i don't see ads generally, i was just watching youtube on my tv today because i was watching with a friend. this just makes me want to avoid watching youtube on a tv lol."
205,"edikted https://edikted.com/","tapping through stories on instagram’s app","an ad appeared for 80% sitewide but for this particular store, they are on sale 99% of the time. usually a baseline discount of 20-30%, then on holidays (memorial, 4th of july) they will have an 80% deal and extending the sale an extra day longer than expected.","no since i didn’t buy from them."
206,"united airlines booking united.com","book a flight","when choosing the cheapest option for flight, instead of letting my select it, it recommended me the higher tier whilst listing the perks. additionally, when scrolling down to choose the cheaper option anyways, i noticed that the button to select that was grey whilst the more expensive option was blue and highlighted.","it caused me to pause and become more indecisive on whether i wanted the cheaper option."
210,"instagram","i opened the mobile legends app intending to play a quick match, but before reaching the main screen, i was immediately shown a large full-screen event advertisement called “aspirants reunite.” and alot more ads for new events and it promoted a 50% off limited-time draw for new hero skins.","the pop-up used bright colors, countdown dates, and phrases like “limited time” and “50% off” to create a sense of urgency. it appeared right when the app launched, before i could access the regular menu or gameplay. this design made it seem like i had to participate immediately or i would miss out, even though similar “limited” events happen very often in the game.","it distracted me from what i actually wanted to do start a match. the event felt manipulative and slightly pressured me to spend diamonds i hadn’t planned to use. it also cost me time since i had to manually close the pop-up to proceed. psychologically, it made me feel like i might miss a deal if i ignored it, even though i knew it wasn’t really urgent."
211,"instagram","i opened instagram just to check a message from a friend, but before i even entered the app, i got a push notification that said something like, “you have follow suggestion you have 5 mutuals”","the notification was misleading, it wasn’t actually urgent or meaningful, but it was designed to make me open the app. it wasn’t about  direct messages, it was a general engagement prompt meant to trigger curiosity and(fomo). once i opened instagram, there wasn’t anything important waiting for me.","yes. it wasted my time because i checked the app expecting something personal or relevant, but it was just a tactic to get me to scroll. i’ve noticed this happens often, so it’s starting to reduce my trust in the notifications overall."
212,"tiktok, instagram, youtube","i opened tiktok just to watch one or two short videos during a short break. i wanted to relax for a few minutes before getting back my assignments.","after watching one clip it automaticaly scroll down to the next clip that matched my previous likes and watch history. the “for you” page continuously updated with clips that i like to keep me engage such as funny, dramatic, or trending. without me having to click anything. there was no natural stopping point, and the app never prompted me to take a break or exit.","yes, i ended up watching alot longer then my break the algorithm kept showing videos i found personally engaging, which made it hard to stop. it wasted time i didn’t plan to spend and left me feeling a bit frustrated afterward because i realized i wasn’t fully in control"
217,"discord bot api","i was trying to join a discord server. the authorization window popped up asking me to authorize a bot before i could enter the server. i thought it was just a normal step to join, so i clicked “authorize” to continue.","when i read the fine print, it said that by agreeing, i was also allowing the bot to later join other discord servers without me acknowledging it. it feel like i needed to click it immediately to continue. there was no clear explanation of what exactly the bot could access or how it might use those permissions later.","yes, it made me feel uneasy and  unsure about what i had just agreed to. i didn’t intend to give a bot that level of access, but the design made it seem like i had no other choice if i wanted to join the server. and it cost me time to look up how to remove the bot permissions, and i felt less confident about joining new servers in the future."
219,"hayailearn website https://www.hayailearn.com/","find the pricing for the pricing","they have no option to see the pricing on the main page, only a home button and a start your free week option, which usually leads to charges.","i think this goes into costing me more effort than anticipated/desired to get the pricing which makes me suspicious of the site"
220,"https://www.pdffiller.com/jsfiller-desk17/?acc-share-button-in-editor=true&e-sign-assign-fields-experiment=false&flat_pdf_quality=high&isskipeditorloadfrequency=true&jsf-all-tools-tab=false&jsf-all-tools-tab-branch-b=false&jsf-disable-autosave=true&jsf-disable-browser-translation=false&jsf-editor-pdfjs-five=true&jsf-fake-edit-embedded=true&jsf-fake-edit-stream-editing=true&jsf-offline-mode=false&jsf-page-rearrange-v2=true&jsf-probability-70=true&jsf-redesign-full=true&jsf-simplified-modes-iteration-1=true&jsf-socket-io=true&jsf-web-mobile-new-filling-experience=false&projectid=1969171191&requesthash=3480d6adb8c7265465159eaea9b32d78ed7ed8098fd30c00d96adf6cf2c61ec5&richtextformatting=true&routeid=4e4a91cb3b92ed409aceb56e1b973795&traceparent=00-68aaad69d67b6f3aa3307ebe3ad9f7cf-242bd3cc313dbcd1-00#94f3110a19424bd1a8c4e11f77a5073e","i was trying to turn a pdf into a word document as i needed to edit it and i thought that turning into a word document would be easier for me.","it claimed that it was completely free, and then it asked for my email and i logged in. after that it told me that if i wanted to download it, i would have to either pay or give me card details for a free trial. this is suspicious because it said that it would give it to me for free so i assumed that i would be able to just download the document without any extra steps.","it costed me more time and effort and i had to go back to find another website that would allow me to change my pdf document into a word document for free."
224,"marvel rivals","play a game","there a message sent by the game launcher in chinese and i had no idea what the message meant and would be able to play the game if i did not answer that question. it's a trusted app but this event, slightly concerned me","hindering what you wanted to accomplish, no idea what the message was about"
225,"youtube: youtube.com","i was trying to watch a short youtube video.","before the video started, two unskippable ads played back to back. there was no option to skip and the total ad time was almost as long as the video itself. it also showed a banner suggesting i subscribe to youtube premium to “watch ad free.” it felt like the design was intentionally frustrating to push me toward paying.","yes, it wasted my time and made me annoyed. i felt like youtube was trying to pressure me into paying for the premium subscription instead of just showing normal and skippable ads."
235,"depop (https://www.depop.com/)","browse clothes","on some items, there is a tag that says ""in # people's bags,"" or ""# offers sent.""","it made me feel unsure/anxious, because based on some of the numbers i wasn't sure how the item hadn't sold yet, and it made me anxious because if it is a piece of clothing i want, it makes me feel rushed to buy it so someone else doesn't first"
236,"name: amazon
link: amazon.com","i was browsing through the amazon app to see if there was anything i was interested in buying.","right when i opened the app, the home page had a ""deals to discover"" section in which every item in that section had a ""limited time deal"" sign with a ""__ % off"" sign. some of the items in particular, had a countdown timer as well.","to be honest, all of the items shown in the ""deals to discover"" sections were items that i had no interest in (ex. charging blocks, headphones, a bath mat, etc.) so i didn't feel impacted by it. seeing the countdown timer for some of the items though did make me feel anxious or rushed in the sense that i felt like i was going to be missing out on a ""good deal"" even though i didn't/wouldn't have bought it either way - it was fomo."
238,"yehttps://store.supercell.com,","just checking it out (playing clash royal and decided to check the extended store).","this is a ""special store"", where you can see more ""deals"" and things you can buy. every time you check out this bonus extended store, you get rewards (daily?). basically, incentivizing user to check out store, in hopes that they will eventually buy something.","no, i will probably never buy anything from the store."
240,"duolingo https://www.duolingo.com/","open up my phone","i opened my phone, and saw the app icon appeared to be a dead duolingo bird.","it guilt-tripped me into opening the app and doing a spanish lesson."
246,"linkedin 
https://www.linkedin.com/feed/","i was trying to look through my messages and feed","i kept getting messaged by linkedin themselves and getting adds to try linkedin premium even though i already said no multiple time","it got really annoying and i can see how people would get tired of it and just buy the subscription since its pushed on them a lot"
247,"minix https://minix-compostdryer.com/","buy/price check the product","there were no prices listed anywhere and they required me to send a message/inquiry in order to be able find the price potentially.","hinders my purchase. costing me time by needing to send an inquiry before even seeing the price."
248,"https://ropac.net/exhibitions/79-yan-peiming-dating/","i was researching an artist for my figure drawing class.","at the bottom, there was a popup asking to allow cookies. there was an option to click accept but there was no option to click reject. the only option was to ""manage cookies"" and it had to take you to a whole separate page.","i don't like sharing my cookies, so i tried to reject them but going to a different page was just wasting my time when i could've spent my time researching for my assignment. thankfully, the popup didn't take up the entire screen so i could've just ignored it, but if someone didn't, like me, then they would have to click through."
249,"amazon cart - https://www.amazon.com/?tag=hymsabk-20&ref=pd_sl_7j18redljw_e&adgrpid=1338106215055591&hvadid=83631709434484&hvnetw=o&hvqmt=e&hvbmt=be&hvdev=c&hvlocint=&hvlocphy=111479&hvtargid=kwd-83631981824880:loc-190&hydadcr=28883_11845452&mcid=&msclkid=aa155ddef580186d21c634afb69ae2ee","was trying to add something to my amazon cart.","when i added the thing to the cart, it then told me what other people were buying with this item and tried to make me add them to the cart before going to check out.","it took me time mostly, to realize what was going on and then trying to figure out how to still get to the checkup point."
250,"apple customer service","i was tying to talk to a customer service agent about an issue that the ai bot would not be able to help with.","it kept on repeating the same 5 or 6 options and wouldn't let me work around it. then when i finally got through to talk to a human i had to get transferred to 3 different departments to my question answered.","it costing me more time and effort than it really should have in the first place."
252,"emerald city athletics","trying to  cancel there personal trainig program","i had to go in person to cancel  instead of online 

they have bots ask me why i am canceling  and relay that i am canceling the coach and have them message me to try convince me not to by reminding me how much progress was made","yes it was a waste of  time i had to leave home and go there 

i had to talk to many people and sign many papers, and there was a fee 

there was a lot of misdirection, too"
254,"shein.com","online shopping","a pop-up with a countdown timer to secure a deal, and greyed out option for ""savings"", and increased cost when adding an item to your cart.","it's just more annoying and can make a psychological impact when repetitive."
257,"hurawatch
https://hurawatch.cc/","i was trying to watch the most recent episode of impractical jokers season 12.","a lot of popups.","no because i use this website often. it's a pirated tv and movie website which i already expect popups on so i already know exactly when to expect popups and immediately close them."
258,"overleaf https://www.overleaf.com/project","writing math document, completing a homework assignment","there was a popup that showed up multiple times saying something along the lines of ""your use of latex ai has run out of time. please subscribe for more time"" when i wasn't using, nor did i need, the latex ai for what i was doing.","it blocks part of the screen until i x it out, it does this multiple times per session."
263,"ghome smart (gosund) app 
https://apps.apple.com/us/app/ghome-work-with-gosund/id1456965228","i wanted to turn on my smart wall plugs using my phone. so, i opened the app.","immediately when i open the app, the first thing i see is the ""user agreement and privacy policy screen"". the smaller text said there were some updates to the privacy policy.","it was annoying because in order to see the aforementioned privacy changes, i had to click on the link to their entire privacy policy. when i looked at the privacy policy changes, it was very cumbersome because of how much text was on my phone's screen. i eventually just went back and hit agree without really looking at the terms."
272,"webull unsubscribe section from emails.

https://act.webull.com/actv2/common/unsubscribe/index.html?email=%60yr5%2bucedmhkcjvtdq%2bcyp%2bi9vgkbpii0up8m2qqylikk9c7jmqyacis%2fm9lpbeui&sign=9c3530fb75a70fd75407d54c71207f746419111032c30c06914ca5d5fc6a369c&hl=en&sourceflag=op_m_r-20607-1067291879354679296-new_product_email&contentid=16126&type=2&emailcode=new_product_email","unsubscribe from webull email's since it started to become spam.","i have never seen an unsubscribe from email result in anything except an instant unsubscribe.","i was shocked since i unsubscribed from 3 other emails right before and it happened instantly so seeing a message like ""within 24 hours"" to me just means they can still send me trash emails until 24 hours have passed."
273,"dave hot chicken app","order food","when you get to the check out page it automatically adds a 15% tip without telling you. you only notice when you get to the final page in checkout. on top of that it doesn't let you say no, you have to input 0.00 as a tip to remove it entirely.","costing you more time, money, or effort than anticipated/desired."
275,"ticketmaster","buy tickets for a concert","ticketmaster had stated that the prices are including service fees however, ticketmaster is notorious for having hidden fees.","yes because some tickets are more pricier than the others and having those hidden fees could definitely hinder my bank account!"
281,"linkedin","access free youtube premium as a perk of having linkedin premium as stated","gave me the option redeem 3 months of youtube premium for free but when i clicked, it asked me to renew my subscription to get access. it shouldn't have shown it to me in the first place as free if i did not have access to it.","cost me extra time while also being distracting."
282,"amc theaters | https://www.amctheatres.com/","purchase movie tickets","i went through the entire process of selecting tickets and seats online only to be met with a convenience fee at checkout.","cost me more money than desired."
283,"clash royale","going to the shop to buy troop/spell cards using in-game currency","it was offering evolution cards with a limited time offer, however this was a ""limited time deal"" that i have seen repeatedly. they do this to make people feel like they are given a good offer and give in to purchase the item using real life currency.","evolution cards in this game are very overpowered and also very difficult to obtain as a free to play player, and this was intentional by design to make players feel like they need these overpowered cards to keep up with the most efficient tactic available. since this game is more punishing for free to play players such as myself, it tempts me to buy the evolution card in order to have a fair chance of getting trophies in this game."
284,"robinhood","i got a notification saying a specific crypto currency price is dropping and to hold the notification if i want to purchase it.","the fact that they’re notifying me of a drop of price in something i haven’t bought plus the hold to buy option makes it seem like a thing of missing out if i don’t buy it now due to how volatile cryptocurrency is.","it didn’t really affect me much, i tend to be very careful when i make investments and take my time with that kind of thing."
287,"duolingo","doing my duolingo for the day","i notices how many notifs it sends me when i haven't completed the lesson yet and previously it would portray a lot of emotion from duo the owl and if it's almost midnight and would pop up on my homescreen in addition to making eveyrhing highlighted and exclamation points to emphasize the timer countdown.","undue emotional labor since it makes it seem much more important than it actually is."
290,"temu, link: https://www.temu.com","i was looking for an instance of ux dark pattern","too many offers, discounts and what was very weird to me was that multiple things were rated ""#1"" which clearly shows it is to grab attention. especially very basic things like hair ties and whatnot.","no it didn't affect me now, but it has affected me in the past as many of these offers are just lies and at billing the price is way more than what you had expected."
293,"well it's not necessarily a website or digital thing per se. it's just a frustrating thing that is a little ""manipulative"". i go to play basketball at the seattle campus uw intramural center with friends. i started going last campus so i expect and am used to a $10 entrance fee as a non uw seattle student. but this quarter me and some friends are playing organized recreational intramural 5v5 men's league play. i was required to pay $40 just to sign up for intramural play. today when i got to the facility i was expecting just to pay the $10 entrance fee but the person at the front desk said that it was required to pay another $96 fee just to play intramurals as a uwb student. this felt like a dark pattern, even if it was just unintentional and a communication error, because i had no expectation for it. but it wasn't exactly connected to ui/ux.","play intramurals","extra large fee","cost more money"
301,"instagram, link: https://www.instagram.com","i was just scrolling through my reels","this one lady kept showing up talkng about a master class, telling how basic skills like talking and attending zoom calls can help you earn millions and women who are not doing these are missing out. it might not be ux stunt, but it did feel like a scam and the reel description could count as ux dark patterns. along with that, i also received messages from that lady that felt suss.","yea it made me feel like it was real, but then it started feeling like it was ""too good to be true"""
308,"crocs","i was trying to casually check and read through my emails without intending to shop or make any purchases.","the promotional emails used repeated sales messaging, limited-time language, and visually emphasized discounts that made the offers feel urgent even though there was no clear indication that the promotions were actually expiring soon. the emails were designed to pull attention away from simply reading email and toward clicking through to shop.","encountering these promotional messages was mildly distracting and made it harder to simply scan and clear my inbox. the urgency-focused language created subtle pressure to click and browse products even though i did not plan to shop. it made me slightly less confident that i could quickly accomplish my original goal of just reviewing emails without being influenced by marketing prompts."
316,"iqiyi https://www.iq.com/?lang=en_us","stream a series","saw that it said full online for free, but when i went in, only the first episode was free and the rest were block by vip access. there was an option to gain a free trial for vip access by watching ads but it didn't tell me how long the access was for. after watching the ads the access was for 45 min, less than an episode. there were also constant ads in the episodes anyways. luckily it let me gain the free access multiple times.","cost me time and effort, would have cost me money if i was impatient"
318,"unsure","look at a dog photo","it asked if i wanted to allow the website to collect information, upon clicking ""more options"", it explicitly mentioned selling, sharing, and other transformations of it with a long list of opt out options","i clicked away and didn't see the dog photo :("
328,"temu","i was browsing for a few small items and trying to decide if i wanted to place an order.","while browsing, i kept seeing messages like “only a few left,” “hurry, almost sold out,” and countdown timers for discounts. the app also constantly showed pop-ups about deals expiring soon, which made it feel rushed and stressful. it was hard to tell if the urgency was real or just part of the design. i also saw lots of promotions  and ads too!","yes. it made me feel pressured to decide quickly instead of thinking carefully. i spent more time checking prices and comparing items because i wasn’t sure if the deals were real. it also made me less confident that i was making the best choice and more worried about missing out."
330,"https://www.ryanair.com/us/en

ryanair airlines","buy flights","tried to make me pay for seats when there are free seats instead","costing more money, taking time away"
332,"i was playing this game i found showing how companies websites trick you to keep cookies on.

https://cookieconsentspeed.run/","play the game and experience it.","yes, it showed all the different ways websites make it hard to turn off cookies.","gave me a wider view of shady ways websites keep you from turning off cookies."
334,"discord | no link as this is separate application","utilize free two weeks subscription","they told me it was free but i still had to place my card information and had to manually cancel my subscription or else i would have to start paying yearly payment.","i was not able to achieve my goal of utilizing the free subscription (i did not want to accidently not cancel)."
338,"flightradar24
https://www.flightradar24.com/","i was trying to see what flight my brother was on","when i entered the site there was a popup that asked me to agree or disagree to give my personal info and the agree button was bright blue while the disagree was greyed out. when i clicked disagree it took me to another page where i had to manually click disagree on about 6 things while the agree button was one simple click","it was pretty annoying and mixed with a couple of other dark patterns throughout the site really made want to just close the site and find another one."
348,"https://www.amazon.com/","cancel prime membership","intentionally misleading language and multi-page process","made a simple action annoying"
351,"forza horizon 6, https://forza.net/forzahorizon6","buy a game","the game advertised to buy the game pass subscription to unlock the game for free, or pay for the upgrade to deluxe edition to unlock the game 4 days early. also to pre order the game to unlock exclusive content","not really, i ignored it, but out of the list, i would say it would be costing me more time or money"
352,"spotify","i was trying to listen to music in the background while studying and relaxing without being distracted.","the app repeatedly displayed pop-ups and banners encouraging me to upgrade to premium. ads frequently interrupted songs, and certain features like unlimited skips and choosing specific songs were restricted, which made the free version feel intentionally inconvenient.","these interruptions made it harder for me to stay focused while studying. i had to spend time closing pop-ups and waiting through ads instead of staying engaged with my work. the constant reminders to upgrade created subtle pressure to subscribe just to avoid the inconvenience, even though i originally only wanted to listen to music casually. this made the experience feel more frustrating than necessary."
353,"amazon
https://www.amazon.com/gp/help/customer/display.html?nodeid=201714290","cancel my amazon prime membership","it had me go through a bunch of loop holes and deals, before i could actually cancel the membership","lots of time, was super annoying and frustrating"
355,"amazon prime","it wasn't me personally which is why i'm unsure but i was present with my friend who tried cancelling their amazon prime and got asked annoying questions like ""are you sure"" then gave an offer to stay before finally letting him cancel.","they tried to keep him as a customer even after he started the cancelling process.","made me chuckle a bit since it's like they're begging you to stay."
357,"aliexpress
https://www.aliexpress.us/","i was browsing the products","whenever i refreshed the home page i got a popup saying i got a free gift but in small text it said after purchase. whenever i closed out of it if i ever refreshed the home page again it showed back up no matter what i did.","it really annoyed me whenever i refreshed and i ended up just closing the website"
358,"nvidia sdk manager download https://developer.nvidia.com/sdk-manager","i was trying to download the nvidia sdk manager","the page was designed to look like you could freely download the software, but once you click on one of the download file buttons it redirects you to a login page.","it annoyed me because i thought that my next action would download the software, but i instead had to sign up for an account."
363,"lune cafe","order some dessert / food","they put the popular / featured limited time only options at the top and the regular stuff at the hidden. i had to navigate between many different pages just to find what i wanted.","hindering what you wanted to accomplish"
364,"amazon 
https://www.amazon.com/adjustable-cervical-sleeping-ergonomic-orthopedic/dp/b0c1gq54qd/ref=sr_1_4?crid=297oati1ti7dc&dib=eyj2ijoimsj9.1zgfq2glr9dahv5pmaloo7gkv0e--3qndz927hgvxwg_fhj5tt8jewrzwyzmv6dgmnnxr9ec4qqdhidtn63ws8uqjxsqbbnwjefw7qhgmrcpgkqwjiihkpdhiwifb4-a134p7-xccd43a2ldicig-p2gmru2t-k1vu_ddyqo5lkdpyxz79cpngv2xnvqzlbq7mtqt_mhjheuzkc31xpq_-jrdr8aic61yeunwfulebex73g9fu7iolbgytz7nfnt94gh9u7oitoocixa3_mo8fd4jsxpoxfu04gqzrs0dzs.94pidndhmwuoaeqpssn2unitahacx4fw2jz8nbi92xc&dib_tag=se&keywords=pillow%2bfor%2bneck%2bpain&qid=1769411043&s=home-garden&sprefix=pillow%2bfor%2bneck%2bpai%2cgarden%2c165&sr=1-4&th=1","i was browsing online for a  good pillow.","the first thing is that it says limited time deal, but doesn't mention how long the sale is going to last for. secondly, it says order within 55 minutes and there will be free delivery on a certain day. another confusing thing is that in small text at the top right hand corner is says sponsored underneath a banner. i can't really tell if the sponsored text is for the banner or the product listing itself is sponsored.","i'm questioning whether this is actually the #1 best seller in contoured support pillows category."
371,"shein, link: https://us.shein.com/?url_from=usgooglebrandshein_srsa_shein01_20210124&network=g&kwd=kwd-1667706624&pf=google&keyword=shein&target=&placement=&gad_source=1&gad_campaignid=370313608&gbraid=0aaaaadm0yo6yjccygj7sufli52fats7ao&gclid=cj0kcqiam9flbhcqarisajonoctfus8wz_gqeejlfh_d9or3fo5vair4r0cp-c1n0hg-bdvlghcd7ocaavnyealw_wcb","i was trying to just open the app and see and i had all these pop-ups saying free gifts and you don't have to buy anything and get 3 items for $0","it was suss because later it wanted me to buy something to avail the offer","costing me more money than expected"
372,"aliexpress","trying to buy bulk items for my club","it was really cheap however, i noticed that after i added it to cart, it would raise up in price.","yes, because i was looking for stuff that was within my budget, however, when i checked out, it wasn't the right price."
373,"xbox game pass ultimate subscription, microsoft.com or xbox.com","cancel my xbox game pass ultimate subscription","somewhat difficult option to find cancel button, slow process, and have to click multiple buttons and more than one prompt before i can cancel. also final message asking if i for sure want to cancel and relisting the benefits i lose if i cancel. im canceling because of subscription price increase","somewhat hindering what i wanted to accomplish by having a slow process, and costing me time and effort, and costing me money in a way since it's going up in price"
