"Timestamp","Your name as it appears in Canvas  (Will be anonymized before incidents are shared with the class)","Did you have any interactions today that you suspect might involve a UX Dark Pattern ?","If you reported ""yes"" or ""unsure"" please answer the following questions.

Name and link to the system or service","What were you trying to do?","What was suss?","Did encountering this pattern impact you in any way?  Please explain. 

(Examples of possible impacts include but are not limited to:  
-not achieving what you want to accomplish; 
-hindering what you wanted to accomplish; 
-costing you more time, money, or effort than anticipated/desired; 
-less confidence or less certainty that you have achieved your aim 
-less confidence or less certainty that you have mitigated undesirable consequences; 
-undue emotional labor; 
-possible consequences for others; 
and so on.)","Based on your personal feelings at this time, please mark the degree of concern you have about this incident. 

No concern (1) 
Mild concern (2) 
Moderate concern (3) 
High concern (4) 
Extreme concern(5)","Images or video of a problematic interaction are very helpful for analysis. Did you capture any images or video of the interaction you are reporting on?  (We will reach out when the collection period is concluded to collect.)","Which UX Dark Patterns do you think might be involved (if any)? (Check all that apply)   

Patterns are from Appendix A of  2022 US FTC Staff Report ""Bringing Dark Patterns to Light""","Anything else?","If you have screenshots or other documentation, you can upload  to 10 files of 100 MB in size via one submission."
"4/14/2025 11:29:32","52a282701a15892730e7f826c74c0949","Yes","Temu","I was interested in wether it was really a legit shop or not","The prices were suspiciously low","I was curious if Temu was really as reliable as it seemed, so I began checking it out. Instead of a clear and honest experience, I found some design tricks that made me feel uneasy. The website used confusing layouts and buttons that seemed meant to push me into making decisions quickly—without giving me all the facts. This made me doubt whether Temu was being completely upfront or just trying to keep me from realizing potential issues. In short, encountering these patterns made me more cautious and led me to do extra research before deciding to trust the site.",3,"No","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)","I am writing to tell that I am making this report for yesterday, I am really sorry about this, I was out of state and forgot to do it in time",NA
"4/14/2025 14:48:30","6d1dcfc2d156a7456434b55a937e76b9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 15:43:28","e94283a9999414873bbe32414e2ea914","Yes","LinkedIn Job Post: https://www.linkedin.com/jobs/view/4208418452","I was looking for summer internship opportunities when I found a posting listed a couple hours ago that I clicked on.","The post said it was remote in the United States, but the actual title of the post said it was actually onsite in another state.","It hindered my goal of applying to this internship because I don't want to go to Minnesota for an internship.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/14/2025 15:55:29","befad6e39f482a29a13ac3d84f1be8de","No","N/A","N/A","bruh really.","N/A",1,"No",NA,"Nope",NA
"4/14/2025 15:56:51","befad6e39f482a29a13ac3d84f1be8de","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 15:57:14","befad6e39f482a29a13ac3d84f1be8de","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 15:57:31","befad6e39f482a29a13ac3d84f1be8de","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 15:57:45","befad6e39f482a29a13ac3d84f1be8de","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 16:01:25","fab0fd443492790d8040a1561d694f15","Yes","youngla.com","Buy gym shirts from the website","Had a ""low stock - only 13 shirts remaining"" under the price, probably to incentivize user buying quick and have a sense of urgency.","Nah, it didn't affect me at all.",2,"No","Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims)","nah",NA
"4/14/2025 16:17:19","e084c1a6a1bf55da63003a87e0be9919","Yes","Hulu – https://www.hulu.com","I was trying to cancel my Hulu subscription.","They gave me five different pages to go through, asking “Are you sure?”, offering multiple deals, and making it confusing to find the final cancel button.","Yes, it wasted my time and made me question whether I had actually canceled it. I even reopened the page to double-check it was gone.",4,"No","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/14/2025 16:20:51","4d3cbbce081d1040b28c38a6a24842aa","Yes","Safeway","I was attempting to buy some mustard and was checking the prices.","On a sign below the mustard, it was priced at $1.99 (displayed in a large font), which I thought was reasonable. However, upon closer examination, I found a much smaller font that showed that the non-member price was actually $2.39.","Fortunately, it did not cost me anything, as I was already a member, but I could see it tricking someone else into buying the product.",3,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/14/2025 16:21:41","4d3cbbce081d1040b28c38a6a24842aa","No",NA,NA,NA,NA,NA,NA,NA,"I forgot to submit a form yesterday (Sunday). I did not encounter any dark patterns yesterday.",NA
"4/14/2025 21:17:29","ebd6f1c3b996944dae36a1cb3d57d4f9","Unsure","Pacsun.com","Looking at clothing to buy","The page includes red text showing 500 views in the past 24 hours","Not really",2,"No","Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims)",NA,NA
"4/14/2025 21:19:11","eebb41618d019775c4a84d577c6f74ab","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 22:01:27","19fc85fa33a55276017f141140af6290","Yes","TikTok Mobile App","Open my phone home screen, and eventually open the app","The app showed that I had three notifications, upon opening the app it actually only had one thing to notify me of. I know for a fact that it will slowly increase the number of ""unread notifications"" (it doesn't actually send a notification) despite not having anything new to notify users of.","Untruthfully made me think something had happened",2,"Yes","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)","I forgot to screenshot my phone home screen, I will try to get a screenshot again, but I have a screenshot of the app with one (not three) notification",NA
"4/14/2025 22:04:32","4d56a052dd9ec2545fba57307a85f15b","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 22:34:57","51bc70a8f0bc3ceef47efb8c541aecf5","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 22:45:37","0d1b57fb4af743669e4533ea524b9bc3","Yes","https://www.escapefromtarkov.com/preorder-page/","i was trying to buy a game.","Page look normal","Yes, it made me unsure whether the purchase went through properly. Even though the page looked normal, I didn’t get a confirmation or clear feedback, which made me feel frustrated and unsure if I should try again. It ended up costing me extra time trying to double-check things.",3,"Yes","Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)","no",NA
"4/14/2025 22:49:21","944adb58eba16be3107cc80dacfdf810","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 23:01:39","5411b0bcb49f05550d4c934741480c17","Yes","True Religion 
truereligion.com","Checking phone notifications on marketing texts.","They are always having sales and sending multiple texts a day about sales ending or items running low. They also know what items I have been looking at specifically and sends a message referencing that hoodie. They track my activity to increase pressure.","The pattern doesn't bother me too much because I am aware of how their marketing works, so I don't really fall for the pressure. However, the constant notifications got annoying so I had to mute it. I still check the notifications here and there to check up on deals to see if there's anything worth not missing, but most times I ignore the notifications and don't feel affected.",2,"Yes","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure), Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)","The friendly urgent reminders are meant to seem friendly and helpful, but it's a persuasive/manipulative design that creates pressure and kind of pushes impulse purchases.",NA
"4/14/2025 23:05:50","7c28193f03a672189dda946626935b7f","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 23:31:20","7f56650e38a07b0307aae53f55465586","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 23:32:49","06d3072d93fc75ea32a19bfe29a6e3ff","Yes","TikTok","I was just scrolling through tiktok","I kept seeing really misleading ads for TikTok shop","Tricked me in to investigating the TikTok shop product which I found out was a scam so wasted my time",3,"No","Social Proof (False activity messages, Deceptive consumer testimonials, Deceptive celebrity endorsements, Parasocial relationship pressure)",NA,NA
"4/14/2025 23:34:08","ed05e399d513e9979361fc70084ae303","Unsure","YouTube","Watch a YouTube video","YouTube reapplied the auto play feature without me doing it myself","Just made me a little frustrated",1,"No","Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/14/2025 23:44:49","8e092ec9b89b7103c2359d4abc744d1a","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/14/2025 23:57:09","52a282701a15892730e7f826c74c0949","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 9:00:46","5012b3d9073da72ad6e4adf3216c2b62","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 12:39:54","d4d4ba48568c64d774ea47c70eafd796","Yes","https://www.amazon.com/","Buy a single item (a phone charger) without signing up for any subscriptions.","During checkout, Amazon automatically selected the Subscribe & Save option for recurring deliveries. The UI made this option look more prominent, while the One-Time Purchase was smaller and less visible. It felt like they were intentionally pushing me into a recurring charge.","Yes, it made me double-check that I wasn’t accidentally subscribing. It wasted time and created unnecessary friction. If I wasn’t careful, I would’ve unknowingly signed up for something I didn’t want. This kind of manipulation breaks trust.",3,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Asymmetric Choice (Trick questions, Confirm shaming, Preselection, Subverting privacy preferences)",NA,NA
"4/15/2025 12:50:33","5e850c5b2164e8603dea6da18cfe6419","Yes","hulu, chromecast","watch shows ad-free","april 14th, 2025: i pay extra to be able to watch hulu ad free. i started this subscription ad-on many months ago. slowly but surely they started throwing ads into the shows i watch on there, at first there was an explanation, something about how certain types of shows didnt qualify. now i have tons of ads sprinkled into every single show i watch, and im still paying for ad-free.","im frustrated because im paying money for absolutely nothing at this point, and the only reasons why i havent removed the subscription add-on is because im afraid that i will be bombarded with way more ads.",3,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/15/2025 13:15:19","6d1dcfc2d156a7456434b55a937e76b9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 14:13:40","e94283a9999414873bbe32414e2ea914","Yes","LinkedIn: https://www.linkedin.com/","I was looking for internships like always when I noticed a part of the LinkedIn sidebar had an interesting offer.","I didn't fully notice it until now, but LinkedIn always has a part of the sidebar on the right that says ""Yaried, unlock your full potential with LinkedIn Premium."" It sounded like my profile wasn't good already.","It made me less confident in my LinkedIn profile because I don't currently use LinkedIn Premium, so their wording made it seem like I wasn't doing the best I could on my internship hunt.",3,"Yes","Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/15/2025 14:19:58","4d56a052dd9ec2545fba57307a85f15b","Unsure","Email","going through my emails","A person keeps sending me emails saying I have received  money and to click on the link, multiple times over random stuff","If I clicked on the link it could potentially harm me in some way",3,"Yes","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/15/2025 15:00:02","8ac75bb8c8c00ac1d2fcdd84fb6c13d8","No","Geometry Dash Game","There was an ad where it required me to play the game in order to close the game.","It allowed me to play the game, but in the end, when the game was over, the “Buy Game” button would suddenly appear and would require me to click it","It made me have less trust in Iphone games that pop up ads with other games on it. Made me not what to play anymore",2,"No","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Asymmetric Choice (Trick questions, Confirm shaming, Preselection, Subverting privacy preferences)",NA,NA
"4/15/2025 15:27:57","e084c1a6a1bf55da63003a87e0be9919","Unsure","Temu – https://www.temu.com","I was browsing for deals on tech accessories.","Every product I clicked had a different price than what was shown on the homepage. Also, a spin-the-wheel game popped up and wouldn't let me close it easily.","Yes, it made it confusing to tell what the real price was. I spent more time than expected just navigating the app and closing the popups.",2,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/15/2025 17:05:53","fab0fd443492790d8040a1561d694f15","Yes","It was an email I was trying to unsubscribe from","Trying to unsubscribe from an email list I don’t even remember signing up for","Super hard to cancel, the unsubscribe button was almost transparent","It was just a pain in the butt to get off the list",4,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/15/2025 17:06:00","8ac75bb8c8c00ac1d2fcdd84fb6c13d8","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 18:27:56","eebb41618d019775c4a84d577c6f74ab","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 19:57:34","06d3072d93fc75ea32a19bfe29a6e3ff","Yes","sub way surfers (game)","I was trying to simply play the game and take a break from HW","I saw an ad and it said to click the screen to play which i assumed meant to try the game out in the ad but when i clicked the screen it took me to the app store.","cost me time and effort that I didn't need to put in. I was tricked in to going to the app store and viewing the games details",2,"No","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/15/2025 20:01:34","06d3072d93fc75ea32a19bfe29a6e3ff","Yes","app.xtensio.com, Xtensio","find a customer persona template to use for an assignment in my CSS 370 class","It asked me to create a free account with my email and I figured out later in the day that it automatically subscribed me to their website because I started getting a lot of emails.","hindered what i wanted to accomplish made me complete unnecessary steps to find a template. Also costed me time because I had to go back and unsubscribe which was a long process on its own",3,"No","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/15/2025 20:06:30","52a282701a15892730e7f826c74c0949","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 20:08:29","19fc85fa33a55276017f141140af6290","Unsure","Ebook Central https://ebookcentral.proquest.com/lib/washington/detail.action?docID=1584420&pq-origsite=primo","Read a chapter out of a textbook","The page lists a number of pages left for ""copy"". I assume this means copying pages, but it could easily be read as pages of your digital copy you can read, or pages you can copy parts off of.","It makes me concerned and confused",2,"Yes","Scarcity (False low stock message, False high demand,)","This is really dependent on knowing that some libraries have made up ""copies"" of digital books, if someone doesn't jump to that conclusion then they wouldn't have a reason to be concerned, and I'm not sure this is at all intentional.",NA
"4/15/2025 21:06:53","0d1b57fb4af743669e4533ea524b9bc3","Yes","cleat.elite.shop","Buying soccer cleats","The products are extremely cheap","The website giving false information to viewers",4,"No","Scarcity (False low stock message, False high demand,), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)","no",NA
"4/15/2025 21:28:47","fd344cb6f8fd8312c70be8ada8e94b1c","Unsure","BoxLunch.com (https://www.boxlunch.com/product/arcane-jinx-baseball-jersey---boxlunch-exclusive/32467637.html)","Keeping tabs on an item that is on presale but hasn't been released yet.","Dialogue boxes along in the bottom edge of the product pictures, giving dialogue such as ""Viewed 46 times since your last visit 1 day ago"" and ""Selling fast! Last sold 30 minutes ago"".","(Potentially?) False sense of urgency, desirability",2,"Yes","Scarcity (False low stock message, False high demand,)",NA,NA
"4/15/2025 21:32:04","fd344cb6f8fd8312c70be8ada8e94b1c","Yes","Ticketmaster (ticketmaster.com)","Purchase tickets for a show","GA tickets are listed at $55, but additional fees bring up the cost of tickets by almost $25 each.","More money than anticipated",4,"Yes","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"4/15/2025 21:32:24","fd344cb6f8fd8312c70be8ada8e94b1c","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 21:32:33","fd344cb6f8fd8312c70be8ada8e94b1c","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 21:32:40","fd344cb6f8fd8312c70be8ada8e94b1c","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 21:48:39","51bc70a8f0bc3ceef47efb8c541aecf5","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 22:14:56","7c28193f03a672189dda946626935b7f","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 22:40:52","4d56a052dd9ec2545fba57307a85f15b","Unsure","email","checking my email","a random person keeps emailing me about money and to click on a link","It potentially could have",3,"Yes","Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"4/15/2025 22:44:14","7f56650e38a07b0307aae53f55465586","Unsure","https://www.pacsun.com/","I was trying to use the search bar to search for a clothing item","There's just a bunch of links you click on under the search with different ""limited time"" sales, like 50% off or $19 and up or %70 off markdowns, etc.","I think it hindered what I wanted to accomplish and sidetracked me; I appreciate a good sale, but they've had these sales up for quite a while, it doesn't really seem limited time or that urgent.",2,"Yes","Scarcity (False low stock message, False high demand,), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/15/2025 22:44:42","ad5203c3dffa671aa1b432bbcae965c8","No","N/A","N/A","N/A","N/A",NA,"No",NA,"N/A",NA
"4/15/2025 22:49:55","5411b0bcb49f05550d4c934741480c17","Yes","Amazon
amazon.com","Browsing deals on Amazon","A HP 2025 laptop sold by a third party seller listed the laptop as being 70 percent off and 91% claimed. The original price was $2599.99.","Not really because I know how these sale tactics work. Plus I was just browsing for fun. However, I did notice how they were creating urgency with the countdown and 91% claimed already.",3,"Yes","Scarcity (False low stock message, False high demand,), Urgency (Baseless countdown timer, False limited time message, False discount claims), Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)","The laptop could be a decent deal, but the way it is marketed feels manipulative. It would have been better with more honest pricing.",NA
"4/15/2025 22:55:03","944adb58eba16be3107cc80dacfdf810","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 23:02:42","2186fd860a968607fbd1b33bd5ffbc69","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 23:08:36","4d3cbbce081d1040b28c38a6a24842aa","Yes","Clash of Clans","Looking at an event that is going on in the game.","In the event, you need to collect a certain amount of gold to gain rewards. However, while the rewards are evenly placed upon the progress bar, the amount of gold needed to get from each reward was considerably larger than what would be implied with the distance between the rewards. For example, it starts from 15 million to 50 million gold, while at the end of the bar, it goes from 500 million to 1.6 billion, which is an astronomical increase.","It didn't impact me all that much in the end besides making me think the event would be easier to complete. I presume that it may manipulate people into spending more time into completing the event as they may think it is not too difficult to complete.",2,"Yes","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"4/15/2025 23:49:12","ebd6f1c3b996944dae36a1cb3d57d4f9","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/15/2025 23:53:43","ed05e399d513e9979361fc70084ae303","No",NA,NA,NA,NA,NA,NA,NA,"I am beginning to realize that I don't go very far from what's comfortable in terms of websites. I'm certain I've seen most of these things, but I can't remember the last time for some, and for others I certainly didn't notice them during this five day period.",NA
"4/16/2025 0:11:06","8e092ec9b89b7103c2359d4abc744d1a","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/16/2025 2:45:07","5e850c5b2164e8603dea6da18cfe6419","No",NA,NA,NA,NA,1,"No","none","i had a couple classes and stayed nearly zero tech for the rest of the time, just worked on homework, distraction free, then cooked and enjoyed some relaxing free time. zero issues",NA
"10/9/2025 16:53:20","e0f08d408d7d4bb088c980a9e857b3b4","Unsure","Grammarly: https://www.grammarly.com/plans","Using Grammarly when the plans option popped up.","The paid plan (pro option) showed 12 USD crossed off and saying try for free with a $0.00 green button. Once you click to proceed, it shows three billing options all saying $0.00, indicating that the membership is free. If you continue with one of the ""free billing options"" it brings you to a payment page still saying $0.00 USD but if you look closely in small gray font there is the actually yearly billing that says $144.00/year charged after 7-day trial.","This design encounter did not affect or impact me in any way, although it was interesting to spot.",2,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"10/9/2025 17:13:54","467ae9fe05d0e559dd0aff100fd72d6a","Yes","Xfinity - https://www.xfinity.com/, home internet","Consistenly the wifi drops, trying to get a technician to come to my house to fix the issue","The Xfinity helpline number was not available in the app, forcing you to go through an AI assistant that loops forever, and only getting a real person after saying “human assistant” a bunch of times which takes a long time. It looks like they’re intentionally making it hard to reach real help.","hindering what you wanted to accomplish and costing you more time, money, or effort than anticipated/desired; ; 
It was a problem because my Wi-Fi wasn’t working, and I couldn’t get any real help to fix it. I needed to talk to a human, but the app just kept looping me through an AI assistant with no clear way to reach someone. Since I rely on the internet to do my work, being stuck like that wasted my time. The whole setup felt intentionally confusing, just when I needed a solution the most. Such situations should have immediate technician response like I have experienced in other countries and should be a hassle.",5,"Yes","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"10/9/2025 17:34:01","8c3cdf43f295ed0a004b3087beaf95f4","Yes","etsy https://www.etsy.com/listing/4381179019/the-purge-inspired-halloween-costume-set?ls=s&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=halloween+costume&ref=sr_gallery-1-13&sr_prefetch=1&frs=1&cns=1&nob=1&content_source=8ccbc058-9ad8-4ceb-a027-90d50779c8c7%253ALT3a0fa6317f4eb43d3f5d39333e1bc5dc5b651a5d&organic_search_click=1&logging_key=8ccbc058-9ad8-4ceb-a027-90d50779c8c7%3ALT3a0fa6317f4eb43d3f5d39333e1bc5dc5b651a5d","Looking for a Halloween costume","It states the amount in stock which seems normal but it states how many people have it in their carts which i think is inflated as it the same amount in stock & demand for each size.","Forcing me to decided soon if I want this costume or not.",2,"Yes","Scarcity (False low stock message, False high demand,)",NA,NA
"10/9/2025 17:56:35","69e2223dc51512c52c47a46341b7de46","Unsure","https://www.telecomdatasettlement.com/","Check if I am applicable for this class action lawsuit","It asked for my account number(which was a little suss, but makes sense) and then it asked for my address. It also didn't provide many details about how and why I needed to provide it.","Possible consequences could be that people might have access to my information, but since it's a class action lawsuit about data theft it's unlikely to be insecure.",2,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency), Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)",NA,NA
"10/9/2025 18:06:00","683a60cc0165f36fef330b711684c6ea","Yes","Clash Royale: https://supercell.com/en/games/clashroyale/","I was trying to check the daily shop to see if there were any free items or cards available.","The daily shop is placed below a bunch of in-app purchase offers that take up most of the screen. Every time I open the shop, I have to scroll past the large and colorful purchase buttons for bundles, chests, and season passes. The purchase buttons are big and close to where I tap to scroll, so it’s really easy to almost make an in app purchase by accident.","It made me frustrated because I almost spent money multiple times while just trying to check something free. I thought that this design felt intentional, like the game wants to trick players into buying something that they didn't mean to.",3,"Yes","Obstruction (Price comparison prevention, Roadblocks to cancellation, Immortal accounts), Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich), Asymmetric Choice (Trick questions, Confirm shaming, Preselection, Subverting privacy preferences)",NA,NA
"10/9/2025 18:40:25","47131c03203bf4b9f5f145e6318be64d","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/9/2025 19:24:33","d9c244a50799c2ce2bce5a9bfe0c405b","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/9/2025 19:46:26","e6ed7a83336b2025ab74d4031c3015d4","Yes","Uber Eats","Trying to cancel Uber one","It was tricky to find a cancel subscription button","I eventually found it, but if I were not used to this kind of trick, I would not be able to cancel my subscription.",4,"No","Sneaking or Information Hiding (Sneak-into-Basket, Hidden Information, Hidden Costs, Drip Pricing, Hiddent Subscription or Forced Continuity, Intermediate Currency)",NA,NA
"10/9/2025 20:43:15","6ba5ec7485e6415cf8a4097ada167fb1","Unsure","Instagram app","Scrolling through my feed","I got an ad for a meal prep subscription on Instagram when I searched up meal prep recipes on TikTok","It feels that I was being sold a quick solution to something I was resolving myself.",2,"No","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"10/9/2025 20:52:05","38d0ca46963e1407f692c82ff68a9324","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/9/2025 22:38:02","386231f923e6ceaa1a347b97895b39d2","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/9/2025 23:45:18","6a65a941606174037f462283a6d5c06e","Yes","Youtube, https://www.youtube.com/","Watch a video","Having to watch two ads, even though there no indication that there is a second ad when watching the first.","hindered me watching a video",1,"No","Interface Interference (Misdirection, False hierarchy or pressured upselling, Disguised ads,  Bait and swtich)",NA,NA
"10/9/2025 23:47:40","a0af765a42338ed0a2bddd7fc3cce3b2","Yes","Amazon online shopping ""https://www.amazon.com""","I was jut looking at my membership","I bought a membership for entire year via the auto renewal (I never signed up for it).","yeah, I was annoyed that my money got used without my knowledge (this happened 3 months ago)",3,"Yes","Coerced Action (Unauthorized transactions, Auto-play, Nagging, Forced registration or enrollment, Pay-to-play or grinding, Friend Spam, Social pyramid schemes, and Address Book Leeching)","no",NA
